,FIPS,Unemployment_rate_2018
716,18003,3.2
717,18005,2.7
718,18007,3.3
719,18009,3.9
720,18011,2.7
721,18013,3.2
722,18015,3.3
723,18017,3.7
724,18019,3.5
725,18021,4.0
726,18023,2.9
727,18025,4.5
728,18027,2.8
729,18029,3.7
730,18031,3.0
731,18033,2.9
732,18035,4.1
733,18037,2.5
734,18039,2.6
735,18041,4.7
736,18043,3.3
737,18045,3.7
738,18047,3.8
739,18049,3.4
740,18051,2.7
741,18053,3.9
742,18055,4.5
743,18057,2.7
744,18059,3.1
745,18061,3.5
746,18063,2.9
747,18065,3.6
748,18067,4.1
749,18069,3.6
750,18071,2.9
751,18073,4.0
752,18075,3.4
753,18077,3.5
754,18079,3.7
755,18081,2.9
756,18083,3.2
757,18085,2.7
758,18087,2.5
759,18089,5.0
760,18091,4.4
761,18093,3.9
762,18095,4.0
763,18097,3.6
764,18099,3.2
765,18101,2.8
766,18103,4.1
767,18105,3.7
768,18107,3.1
769,18109,3.4
770,18111,4.4
771,18113,3.0
772,18115,3.6
773,18117,4.0
774,18119,4.4
775,18121,4.1
776,18123,3.7
777,18125,3.5
778,18127,3.9
779,18129,2.9
780,18131,3.1
781,18133,3.8
782,18135,4.0
783,18137,3.6
784,18139,2.9
785,18141,3.6
786,18143,3.9
787,18145,3.2
788,18147,3.3
789,18149,4.4
790,18151,2.7
791,18153,4.7
792,18155,3.9
793,18157,3.2
794,18159,2.8
795,18161,3.2
796,18163,3.2
797,18165,5.6
798,18167,4.4
799,18169,3.5
800,18171,3.3
801,18173,3.0
802,18175,3.6
803,18177,3.6
804,18179,2.9
805,18181,3.1
806,18183,2.9
807,19000,2.6
808,19001,2.4
809,19003,2.0
810,19005,3.2
811,19007,3.4
812,19009,2.5
813,19011,2.8
814,19013,2.9
815,19015,2.2
816,19017,2.1
817,19019,2.6
818,19021,2.2
819,19023,2.8
820,19025,2.6
821,19027,1.9
822,19029,2.7
823,19031,2.5
824,19033,2.7
825,19035,2.2
826,19037,2.8
827,19039,2.9
828,19041,3.3
829,19043,3.3
830,19045,3.3
831,19047,3.5
832,19049,1.8
833,19051,2.8
834,19053,2.3
835,19055,2.1
836,19057,3.4
837,19059,3.3
838,19061,2.5
839,19063,2.8
840,19065,3.1
841,19067,2.8
842,19069,2.2
843,19071,1.9
844,19073,2.3
845,19075,2.6
846,19077,2.7
